LABEL,TEXT,URL,EMAIL,PHONE
ham,Hi! You just spoke to DEEPAK. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,No,No,No
ham,Yay can't wait to party together!,No,No,No
ham,At what time are you coming.,No,No,No
smishing,"Dear customer your PAY2TMKYC has been expired, It�s will be bl0cked within 24 hour, please contact customer! Care ph� 6200992462 immediately to verify",No,No,Yes
ham,Yo you around? A friend of mine's lookin to pick up later tonight,No,No,No
smishing,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552.,No,No,Yes
ham,Where are you call me.,No,No,No
ham,Anytime...,No,No,No
ham,Just wait till end of march when el nino gets himself. Oh.,No,No,No
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only ..To stop go2 notxt.co.uk,No,No,No
ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,No,No,No
ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",No,No,No
ham,When ü login dat time... Dad fetching ü home now?,No,No,No
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,No,No,No
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,No,No,No
smishing,"Todays Vodafone numbers ending 5263 are selected to receive a Rs.2,00,000 award. If you have a match please call 6200992462 quoting claim code 4267 standard rates apply",No,No,Yes
ham,"Hm good morning, headache anyone? :-)",No,No,No
ham,I know a few people I can hit up and hit to the yes,No,No,No
spam,Now GET RID OF -Cockroach -Termite -Bedbug -Rats -Any Pest 4Best DEALS in PestControlServices/ Chemical/Herbal/Odorless DIAL-N-ASK 080-62222222,No,No,No
ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,No,No,No
ham,Ay wana meet on sat?ü wkg on sat?,No,No,No
ham,Ok no prob... I'll come after lunch then...,No,No,No
ham,No calls..messages..only missed calls,No,No,No
ham,"Received, understood n acted upon!",No,No,No
ham,K.k:)when are you going?,No,No,No
ham,Jus came back fr lunch wif my sis only. U leh?,No,No,No
ham,I want to be inside you every night...,No,No,No
